CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA,SUPERFICIE,LAT,LONG,ANYO,Z_SAT,I_MUN,POBR,FD_1,FD_2,FD_3,FD_4,FD_5,CFD_1,CFD_2,CFD_3,CFD_4,CFD_5,CFD_6,CFD_7,CFD_8,CFD_9,CFD_10,CFD_11,CFD_12,POB_M,POB_H,POB_1,POB_2,POB_3,TESV,ESV,EMI,TEMI,EMP,TEMP,EMM,TEMM,EMG,TEMG,S_AG,S_BA,S_CO,S_HR,S_OR,
8,83,8308,Biobío,Biobío,Quilaco,1124.64,-37.9609,-71.7049,2015,0,"3,204,876,740",0.29,"1,551.90","7,188.18",494, -   ,"4,071.00", -   ,872.74,14.26,"10,583.79", -   , -   ,"1,581.96",112.33,105.13,4.11,30.77, -   ,2054,2100,752,2647,755,2,32,134,222,13,154,1,137,0,0,,,,,,
8,83,8309,Biobío,Biobío,Quilleco,1118.68,-37.4367,-71.8612,2015,0,"6,955,234,940",0.18,"7,688.41","12,069.63",921,1,"11,428.00", -   ,"2,038.09",40.58,"25,677.95", -   , -   ,"3,670.68",303.3,282.55,9.3,85.6, -   ,4946,5113,1967,6511,1581,460,51,281,75,31,182,3,793,1,233,,,,,,
8,83,8310,Biobío,Biobío,San_Rosendo,94.45,-37.2131,-72.7209,2015,0,"3,147,388,106",0.23,"2,065.70","4,118.11",951, -   ,9, -   ,556.61,1.18,"5,536.22", -   , -   ,926.65,56.3,53.62,2.91,10.32, -   ,1800,1875,721,2414,540,129,18,80,11,6,44,0,0,0,0,,,,,,
8,83,8311,Biobío,Biobío,Santa_Barbara,1251.76,-37.6213,-71.7494,2015,0,"8,699,312,909",0.24,"3,985.34","21,284.95","424,278.00",2,"7,061.00", -   ,"12,491.55",279.74,"411,367.99", -   , -   ,"26,645.51","2,640.81","2,262.78",11.9,911.02, -   ,7044,7325,3136,9405,1828,622,114,609,230,90,452,7,118,1,122,0,2209,320,0,81,
8,83,8312,Biobío,Biobío,Tucapel,914.28,-37.2255,-71.745,2015,0,"8,383,201,432",0.26,"4,563.65","47,770.07","991,773.00",1,"18,496.00", -   ,"28,859.02",641.53,"957,622.87", -   , -   ,"61,918.18","6,164.07","5,272.95",24.64,"2,100.45", -   ,7236,7528,3003,9650,2111,588,51,552,126,76,520,1,36,9,455,1,2299,22,168,206,
8,83,8313,Biobío,Biobío,Yumbel,727.1,-37.0884,-72.616,2015,0,"12,316,964,700",0.22,"6,182.82","14,629.11","1,967.00",2,600, -   ,"1,881.90",5.61,"17,906.05", -   , -   ,"3,149.17",199.38,187,9.8,42.02, -   ,10706,11159,4037,14445,3383,619,93,559,178,100,937,8,462,2,49,77,1641,434,2304,156,
8,83,8314,Biobío,Biobío,Alto_Biobio,2124.77,-37.8653,-71.3488,2015,0,"5,880,387,305",0.5,"1,587.61","8,189.21","476,789.00",1, -   , -   ,"12,376.04",286.29,"440,798.05", -   , -   ,"27,013.95","2,770.27","2,357.45",4.6,960.16, -   ,3310,3372,1887,4338,457,376,13,62,35,14,47,1,0,0,0,,,,,,
9,91,9101,La Araucanía,Cautín,Temuco,466.89,-38.6735,-72.6683,2015,0,"90,351,194,447",0.14,"174,419.57","309,667.66","15,641.00",18,2, -   ,"42,939.49",25.18,"376,464.80",1, -   ,"71,200.24","4,246.44","3,957.54",227.91,685.64, -   ,141410,149622,57786,204354,28892,6249,3066,11614,8606,3479,39823,457,29200,143,44583,112,12429,2962,1721,2179,
9,91,9102,La Araucanía,Cautín,Carahue,1336.81,-38.6109,-73.2695,2015,0,"12,415,822,659",0.36,"23,285.59","46,612.59","17,326.00",2,"9,347.00", -   ,"6,545.92",18.05,"77,017.48", -   , -   ,"11,315.37",760.47,723.9,32.91,159.09, -   ,12504,12824,5581,16246,3501,870,140,846,161,122,601,11,164,0,0,,,,,,
9,91,9103,La Araucanía,Cautín,Cunco,1890.34,-38.9773,-71.992,2015,0,"7,715,447,785",0.34,"17,703.37","23,408.36","5,324.00",2,"26,055.00", -   ,"4,601.70",128.2,"58,007.12", -   , -   ,"8,323.75",637.35,577.9,19.36,197.34, -   ,8893,9091,3661,11430,2893,642,108,606,326,90,442,13,181,4,7,,,,,,
9,91,9104,La Araucanía,Cautín,Curarrehue,1167.15,-39.3366,-71.5396,2015,0,"4,840,503,283",0.26,"5,713.00","17,821.70",212,1,9, -   ,"2,077.70",0.69,"17,802.12", -   , -   ,"3,439.73",203.85,189.85,11.08,31.68, -   ,3808,3811,1826,4900,893,211,25,223,123,17,57,1,70,0,0,,,,,,
9,91,9105,La Araucanía,Cautín,Freire,870.08,-38.9546,-72.5877,2015,0,"11,817,693,122",0.22,"17,501.26","23,625.54","3,467.00",3,"40,435.00", -   ,"4,953.03",182.2,"68,924.40", -   , -   ,"9,207.95",776.48,704.02,19.36,264.36, -   ,12505,12672,5118,16723,3336,144,162,630,539,145,1486,25,1380,4,536,,,,,,
9,91,9106,La Araucanía,Cautín,Galvarino,567.86,-38.448,-72.7914,2015,0,"9,078,282,302",0.38,"12,142.21","12,372.77","397,084.00",1,"28,211.00", -   ,"11,609.03",390.72,"407,008.17", -   , -   ,"24,928.50","2,585.30","2,266.72",11.54,"1,011.00", -   ,6282,6355,2912,8045,1680,51,63,238,692,54,779,10,116,0,0,,,,,,
9,91,9107,La Araucanía,Cautín,Gorbea,690.43,-39.1718,-72.6694,2015,0,"8,199,854,389",0.16,"22,423.39","27,249.70",11,1,"11,186.00", -   ,"4,619.70",35.45,"47,132.27", -   , -   ,"7,947.68",520.14,481.6,23.39,110.87, -   ,7401,7752,2857,9941,2355,588,140,675,204,137,1369,6,29,3,174,,,,,,
9,91,9108,La Araucanía,Cautín,Lautaro,906.29,-38.5432,-72.2891,2015,0,"19,782,228,261",0.3,"48,789.20","29,224.57","20,067.00",4,"79,184.00", -   ,"9,342.66",314.28,"146,355.27", -   , -   ,"17,593.38","1,612.42","1,476.02",36.73,538.02, -   ,19003,19845,8713,25861,4274,209,285,1257,2063,255,2159,39,1264,21,6590,,,,,,
9,91,9109,La Araucanía,Cautín,Loncoche,971.27,-39.356,-72.583,2015,0,"10,068,132,203",0.2,"12,396.60","32,893.70",899,2,"5,113.00", -   ,"4,131.71",20.33,"39,218.84", -   , -   ,"6,988.34",436.37,403.43,21.32,83.97, -   ,12015,12456,5275,15833,3363,35,149,803,912,122,1375,4,192,2,485,26,1223,564,239,901,
9,91,9110,La Araucanía,Cautín,Melipeuco,1107.69,-38.8248,-71.6106,2015,0,"4,341,134,619",0.33,"4,167.50","7,684.21","2,752,852.00",1,17, -   ,"67,582.78","1,652.35","2,511,548.65", -   , -   ,"149,591.15","15,622.15","13,243.10",5.58,"5,475.95", -   ,3039,3092,1267,3863,1001,2,12,158,134,22,232,3,34,0,0,,,,,,
9,91,9111,La Araucanía,Cautín,Nueva_Imperial,730.73,-38.7513,-72.9722,2015,0,"13,928,927,364",0.32,"29,435.21","30,769.85","14,847.00",4,"33,767.00", -   ,"6,197.25",91.76,"89,159.02", -   , -   ,"11,223.61",959.92,900.11,28.34,263.04, -   ,16147,16786,7195,21366,4372,963,156,927,429,146,1196,16,873,6,2612,12,2088,864,283,323,
9,91,9112,La Araucanía,Cautín,Padre_Casas,463.83,-38.8024,-72.5551,2015,0,"24,935,653,507",0.25,"73,659.26","79,785.50","111,362.00",9,801, -   ,"15,926.86",73.49,"217,730.15", -   , -   ,"27,744.58","1,903.57","1,731.31",72.24,434.56, -   ,37706,39194,17656,52277,6967,348,366,1590,2129,341,3722,36,2588,16,4952,1,1537,357,0,45,
9,91,9113,La Araucanía,Cautín,Perquenco,331.03,-38.4281,-72.4363,2015,0,"5,623,855,924",0.36,"4,020.73","10,870.39","64,574.00", -   ,"70,860.00", -   ,"3,920.46",192.44,"134,336.50", -   , -   ,"9,143.83","1,195.35","1,090.49",7.01,439.05, -   ,3493,3593,1541,4656,889,34,40,193,199,61,253,9,121,0,0,,,,,,
9,91,9114,La Araucanía,Cautín,Pitrufquen,583.25,-39.0831,-72.6638,2015,0,"9,967,219,435",0.22,"26,541.14","30,074.62","16,113.00",2,"4,417.00", -   ,"5,471.14",28.66,"60,941.96", -   , -   ,"9,376.85",611.98,562.31,26.65,128.21, -   ,12304,12883,5055,16532,3600,748,212,870,365,159,1099,11,352,3,283,9,1791,622,244,132,
9,91,9115,La Araucanía,Cautín,Pucon,1248.06,-39.2712,-71.7926,2015,0,"15,300,204,572",0.15,"26,121.37","55,566.43",272,3,56, -   ,"7,199.23",2.39,"61,390.69", -   , -   ,"11,911.48",707.08,657.5,38.46,111.96, -   ,13850,14230,6230,19066,2784,171,306,1613,1085,279,4069,31,1777,7,3251,,,,,,
9,91,9116,La Araucanía,Cautín,Saavedra,398.35,-38.8325,-73.2957,2015,0,"7,538,633,001",0.43,"10,648.34","10,757.67","3,279.00",1,132, -   ,"1,952.22",2.63,"19,156.30", -   , -   ,"3,272.70",200.5,187.77,10.08,35.82, -   ,6363,6576,2894,8093,1952,65,43,297,441,47,393,0,0,0,0,,,,,,
9,91,9117,La Araucanía,Cautín,Teodoro_Schmidt,656.17,-39.006,-73.1282,2015,0,"7,075,718,468",0.4,"12,533.44","31,547.65",182,1,"6,830.00", -   ,"4,016.22",19.29,"39,271.60", -   , -   ,"6,845.22",433.94,402.73,20.75,84.34, -   ,7793,7927,3249,10029,2442,461,114,489,151,100,436,3,39,2,796,,,,,,
9,91,9118,La Araucanía,Cautín,Tolten,851.8,-39.2169,-73.0658,2015,0,"5,736,492,720",0.33,"7,655.30","24,192.62","6,376.00",1,8, -   ,"2,881.84",4.93,"29,889.70", -   , -   ,"4,811.52",297.5,275.56,14.99,56.87, -   ,5070,5128,2179,6538,1481,384,83,303,86,48,121,4,25,1,28,,,,,,
9,91,9119,La Araucanía,Cautín,Vilcun,1416.48,-38.7045,-72.1164,2015,0,"12,010,478,033",0.36,"28,555.94","25,139.54","28,310.00",4,"58,673.00", -   ,"6,930.95",229.57,"117,434.19", -   , -   ,"13,383.52","1,196.81","1,085.88",25.28,396.28, -   ,13966,14372,6428,18845,3065,180,183,818,975,158,1132,20,473,7,3128,,,,,,
9,91,9120,La Araucanía,Cautín,Villarrica,1292.66,-39.3012,-72.1839,2015,0,"19,052,235,512",0.16,"45,472.34","89,352.73","1,679.00",4,"9,016.00", -   ,"12,221.03",49.95,"110,078.45", -   , -   ,"20,450.70","1,260.08","1,167.90",63.48,232.49, -   ,27637,28689,12373,37640,6313,223,518,2638,1587,493,6349,55,2957,18,2651,31,1517,680,282,285,
9,91,9121,La Araucanía,Cautín,Cholchol,427.14,-38.5829,-72.9025,2015,0,"5,381,139,534",0.43,"9,467.56","6,998.93","12,567.00",1,"1,891.00", -   ,"1,768.20",23.48,"25,495.55", -   , -   ,"3,125.27",226.93,213.13,7.75,65.17, -   ,5848,5958,2747,7482,1577,339,25,169,68,25,488,1,200,0,0,,,,,,
9,92,9201,La Araucanía,Malleco,Angol,1197.32,-37.7683,-72.7956,2015,0,"28,514,937,872",0.22,"38,586.41","73,274.71","66,689.00",4,"17,086.00", -   ,"12,543.59",247.28,"156,957.14", -   , -   ,"22,189.10","1,656.15","1,509.63",52.66,484.58, -   ,26602,27918,11839,36164,6517,3078,392,1939,745,391,5094,46,3624,16,7631,161,9560,802,510,1123,
9,92,9202,La Araucanía,Malleco,Collipulli,1306.73,-38.0262,-72.1241,2015,0,"13,151,108,899",0.33,"26,887.01","59,001.19","2,864,296.00",8,"29,642.00", -   ,"76,144.16","2,005.52","2,698,897.73", -   , -   ,"165,011.25","16,990.29","14,608.21",40.44,"6,136.62", -   ,12491,12878,5823,16662,2884,268,117,857,466,150,2440,15,1237,4,1009,55,2893,404,147,284,
9,92,9203,La Araucanía,Malleco,Curacautin,1658.66,-38.4272,-71.7718,2015,0,"10,293,277,581",0.25,"20,878.09","22,222.61","209,000.00",2,"36,794.00", -   ,"10,277.87",343.26,"253,278.47", -   , -   ,"20,636.44","1,945.49","1,703.86",20.29,691.02, -   ,8782,9192,3691,11581,2702,508,215,979,295,112,626,12,260,0,0,30,1768,161,12,58,
9,92,9204,La Araucanía,Malleco,Ercilla,498.91,-38.0824,-72.3532,2015,0,"5,289,761,851",0.5,"9,354.53","24,689.04","588,241.00",7,"13,661.00", -   ,"15,991.21",464,"577,579.60", -   , -   ,"33,985.30","3,459.43","3,094.18",16.03,"1,362.83", -   ,4203,4331,2041,5400,1093,58,65,160,19,35,590,3,195,1,1074,,,,,,
9,92,9205,La Araucanía,Malleco,Lonquimay,3928.81,-38.4745,-71.2391,2015,0,"8,217,137,353",0.41,"11,462.86","26,847.76","48,500.00",1,37, -   ,"4,544.01",30.12,"72,781.47", -   , -   ,"8,181.78",604.21,540.42,18.04,148.57, -   ,5433,5430,2473,7119,1271,14,47,331,326,47,312,1,9,1,327,9,606,79,131,143,
9,92,9206,La Araucanía,Malleco,Los_Sauces,848.07,-37.9827,-72.7965,2015,0,"5,901,635,732",0.36,"5,500.41","16,543.26","27,801.00",1,"14,336.00", -   ,"3,244.38",147.65,"53,394.14", -   , -   ,"6,129.57",549,488.89,10.38,217.67, -   ,3723,3815,1509,4934,1095,3,39,296,423,53,608,7,427,0,0,,,,,,
9,92,9207,La Araucanía,Malleco,Lumaco,1109.98,-38.2868,-73.0458,2015,0,"7,115,302,884",0.41,"8,570.25","7,827.51","216,720.00",1,"9,843.00", -   ,"6,190.15",270.48,"220,470.15", -   , -   ,"12,850.26","1,347.34","1,218.58",7.72,607.07, -   ,5121,5099,2303,6548,1369,2,44,233,500,67,789,6,405,2,222,,,,,,
9,92,9208,La Araucanía,Malleco,Puren,463.96,-38.0117,-73.0499,2015,0,"8,062,421,605",0.35,"11,291.32","24,658.50","109,976.00",1,"3,779.00", -   ,"5,458.10",122.05,"131,787.08", -   , -   ,"10,300.94",891.86,798.48,16.93,330.39, -   ,6001,6274,2683,7894,1698,619,54,502,256,111,516,14,313,0,0,31,1921,245,144,65,
9,92,9209,La Araucanía,Malleco,Renaico,265.49,-37.7174,-72.5754,2015,0,"7,758,805,242",0.32,"10,037.41","17,465.69","4,385.00",1,"8,513.00", -   ,"2,871.19",62.81,"31,599.67", -   , -   ,"5,035.71",372.05,338.7,12.95,109.02, -   ,5129,5371,2259,7033,1208,436,67,342,66,52,217,5,218,0,0,,,,,,
9,92,9210,La Araucanía,Malleco,Traiguen,897.07,-38.2466,-72.6549,2015,0,"8,639,845,949",0.25,"17,889.35","50,760.01","360,134.00",2,"50,810.00", -   ,"14,550.94",365.01,"428,084.62", -   , -   ,"30,066.49","2,867.70","2,583.87",32.32,"1,044.41", -   ,9341,9921,4088,12314,2860,779,156,735,338,129,1096,13,356,2,29,96,1795,482,291,755,
9,92,9211,La Araucanía,Malleco,Victoria,1262.59,-38.2805,-72.2332,2015,0,"16,110,864,344",0.25,"26,568.93","43,566.46","77,953.00",4,"197,497.00", -   ,"9,624.81",289.05,"307,565.86", -   , -   ,"22,913.92","2,251.51","2,136.80",33.02,774.41, -   ,17076,18010,7145,23374,4567,1008,318,1435,609,298,2788,38,1760,9,909,181,4104,956,349,3466,
10,101,10101,Los Lagos,Llanquihue,Puerto_Montt,1670.35,-41.4883,-72.7956,2015,0,"90,972,767,274",0.12,"121,568.25","608,172.00","102,235.00",17,33, -   ,"66,531.12",89.37,"639,302.77",1, -   ,"111,324.57","6,817.77","6,408.77",343.56,"1,206.32", -   ,124439,125648,55410,175316,19361,2321,2373,10311,13318,2825,30562,456,29937,185,59591,449,14843,4663,1080,10029,
10,101,10102,Los Lagos,Llanquihue,Calbuco,587.38,-41.7227,-73.1955,2015,0,"17,434,127,035",0.15,"22,232.04","66,268.31","4,083.00",3,1, -   ,"7,867.21",5.59,"69,974.08", -   , -   ,"13,055.70",780.8,733.17,41.67,129.13, -   ,17864,17648,7752,23606,4154,1203,148,1062,319,203,1590,14,734,5,611,0,1126,742,239,12843,
10,101,10103,Los Lagos,Llanquihue,Cochamo,3981.1,-41.763,-72.0933,2015,0,"4,233,828,831",0.23,"9,840.51", -   ,"1,058.00",1,21, -   ,891.65,1.29,"8,339.68", -   , -   ,"1,490.23",91.82,84.96,4.63,16.25, -   ,2114,1978,747,2724,621,122,30,197,42,14,17,1,18,0,0,,,,,,
10,101,10104,Los Lagos,Llanquihue,Fresia,1275.62,-41.154,-73.6052,2015,0,"6,268,075,712",0.32,"3,260.99","37,043.90","7,973.00",1,"1,468.00", -   ,"3,725.65",7.18,"38,834.78", -   , -   ,"6,313.24",395.4,375.43,18.98,76.26, -   ,6381,6333,2534,8446,1734,422,103,556,249,118,606,7,231,1,41,4,172,110,20,389,
10,101,10105,Los Lagos,Llanquihue,Frutillar,828.25,-41.0867,-73.0948,2015,0,"10,411,091,990",0.2,"9,501.59","28,748.87", -   ,2,72, -   ,"3,374.71",2.12,"28,651.49", -   , -   ,"5,586.02",331.69,307.94,18.01,52.49, -   ,9581,9685,4162,13035,2069,1005,217,935,973,238,1674,25,629,4,334,29,390,153,77,53,
10,101,10106,Los Lagos,Llanquihue,Los_Muermos,1229.62,-41.3971,-73.5819,2015,0,"9,562,372,428",0.16,"7,188.29","54,862.26","4,610.00",2,20, -   ,"5,575.78",4.82,"50,610.06", -   , -   ,"9,286.40",561.83,520.92,29.21,93.53, -   ,8926,8770,3656,11664,2376,179,110,949,365,182,1177,9,208,1,9,,,,,,
10,101,10107,Los Lagos,Llanquihue,Llanquihue,433.02,-41.2374,-73.1331,2015,0,"8,865,110,235",0.13,"18,836.66","64,719.93", -   ,1, -   , -   ,"7,358.82",2.45,"62,483.16", -   , -   ,"12,170.66",720.19,670.5,39.34,112.48, -   ,9065,9171,3830,12474,1932,538,152,704,356,173,1136,15,718,6,2030,34,807,283,86,267,
10,101,10108,Los Lagos,Llanquihue,Maullin,822.95,-41.6345,-73.5055,2015,0,"7,664,578,310",0.21,"11,950.82","28,658.79","22,452.00",1,9, -   ,"4,022.48",16.19,"51,116.65", -   , -   ,"6,906.62",458.02,429.87,19.12,102.67, -   ,7634,7460,2894,9989,2211,16,69,516,667,81,383,4,42,1,78,30,416,180,181,69,
10,101,10109,Los Lagos,Llanquihue,Puerto_Varas,4028.8,-41.1905,-72.3875,2015,0,"19,198,995,349",0.14,"17,763.18","61,636.21","5,519.00",3,13, -   ,"7,108.69",6.33,"64,455.43", -   , -   ,"11,826.18",712.36,668.14,37.38,119.88, -   ,22211,22522,10211,30517,4005,426,738,2462,1644,799,6802,114,5169,44,6783,5,667,276,0,3379,
10,102,10201,Los Lagos,Chiloé,Castro,471.38,-42.4738,-73.8037,2015,0,"16,507,341,434",0.14,"55,122.94","93,742.39","16,667.00",4,127, -   ,"13,460.55",17.36,"126,744.68", -   , -   ,"22,465.60","1,369.10","1,293.56",70.09,242.39, -   ,22778,23117,9933,31394,4568,2578,418,2235,1655,587,5001,60,3082,12,3430,157,3486,1078,385,897,
10,102,10202,Los Lagos,Chiloé,Ancud,1754.07,-42.0178,-73.7993,2015,0,"12,852,941,515",0.16,"68,895.50","109,986.50","5,254.00",5,267, -   ,"15,869.11",11.24,"138,818.98", -   , -   ,"26,317.41","1,577.82","1,469.43",84.22,259.8, -   ,20951,21177,8715,28458,4955,1899,518,2242,1580,393,3056,31,1213,11,1634,103,1202,1408,334,373,
10,102,10203,Los Lagos,Chiloé,Chonchi,1361.08,-42.6821,-73.9304,2015,0,"6,240,155,174",0.19,"13,161.59","30,295.03","8,899.00",2,72, -   ,"4,027.22",8.27,"40,694.62", -   , -   ,"6,777.27",424.56,397.72,20.46,79.5, -   ,7680,7682,3142,10560,1660,743,113,585,351,118,858,17,681,7,4625,0,789,643,0,81,
10,102,10204,Los Lagos,Chiloé,Curaco_Velez,79.85,-42.4259,-73.5787,2015,0,"2,494,097,854",0.19,"2,779.45", -   , -   , -   ,9, -   ,244.79,0.08,"2,087.46", -   , -   ,404.81,23.96,22.3,1.31,3.74, -   ,1946,1992,832,2537,569,231,19,109,36,28,97,2,102,1,288,,,,,,
10,102,10205,Los Lagos,Chiloé,Dalcahue,1229.21,-42.3093,-73.8355,2015,0,"4,706,860,558",0.23,"14,388.67","57,435.12","66,949.00",1,74, -   ,"7,909.51",44.1,"114,743.44", -   , -   ,"13,982.83",991.06,908.35,33.81,234.68, -   ,7254,7182,3192,9712,1532,479,98,547,271,144,1022,13,515,7,2106,22,504,13,0,380,
10,102,10206,Los Lagos,Chiloé,Puqueldon,96.58,-42.6265,-73.637,2015,0,"2,443,526,468",0.18,"4,611.00", -   , -   , -   ,32, -   ,406.09,0.14,"3,476.08", -   , -   ,672.57,40.74,38,2.17,7.21, -   ,2107,2095,805,2755,642,215,16,147,24,14,168,1,83,0,0,1,203,62,0,296,
10,102,10207,Los Lagos,Chiloé,Queilen,330.88,-42.8555,-73.5648,2015,0,"2,598,100,814",0.2,"4,889.65","11,124.06",13, -   ,10, -   ,"1,410.32",0.47,"11,996.96", -   , -   ,"2,333.33",138.03,128.5,7.54,21.56, -   ,2777,2727,1175,3662,667,290,26,208,54,41,146,2,114,0,0,12,492,208,8,33,
10,102,10208,Los Lagos,Chiloé,Quellon,3360.3,-43.1513,-73.9951,2015,0,"4,665,650,737",0.12,"30,321.31","86,217.49", -   ,3,11, -   ,"10,263.56",3.41,"87,158.08", -   , -   ,"16,976.38","1,004.47",935.16,54.87,156.88, -   ,14057,13898,6642,19456,1857,154,148,977,1563,231,2054,25,1085,5,1975,46,1047,567,212,115,
10,102,10209,Los Lagos,Chiloé,Quemchi,438.3,-42.1778,-73.4132,2015,0,"7,235,210,308",0.19,"10,550.29","26,785.66",500,1,19, -   ,"3,300.17",1.09,"28,390.62", -   , -   ,"5,465.82",325.81,302.6,17.58,52.26, -   ,4425,4358,1778,5742,1263,0,30,283,486,41,367,3,88,1,103,1,280,229,0,1245,
10,102,10210,Los Lagos,Chiloé,Quinchao,158.73,-42.5202,-73.3605,2015,0,"4,064,794,510",0.4,"10,616.67","29,254.08",40,1,9, -   ,"3,511.41",1.17,"29,863.13", -   , -   ,"5,809.01",343.65,319.94,18.77,53.67, -   ,4166,4272,1734,5543,1161,44,24,266,634,47,411,6,281,0,0,16,368,91,93,134,
10,103,10301,Los Lagos,Osorno,Osorno,954.57,-40.6116,-73.0865,2015,0,"62,898,837,479",0.16,"239,243.67","437,341.26","3,439.00",10,"7,330.00", -   ,"59,709.74",29.81,"515,952.50",1, -   ,"99,052.73","5,885.61","5,479.23",318.53,934.77, -   ,82768,85445,35049,115168,17996,1694,1770,7334,6016,1913,22529,204,8975,95,25102,91,9410,5848,1011,6083,
10,103,10302,Los Lagos,Osorno,Puerto_Octay,1793.82,-40.9324,-72.5987,2015,0,"5,329,421,087",0.3,"15,709.45","38,327.32","2,611.00",1,65, -   ,"4,822.01",4.58,"42,838.40", -   , -   ,"8,012.23",482.75,448.62,25.44,79.74, -   ,4786,4613,1952,6391,1056,347,77,365,135,115,1035,17,381,3,625,21,587,204,60,61,
10,103,10303,Los Lagos,Osorno,Purranque,1451.58,-40.9352,-73.4568,2015,0,"9,777,555,153",0.2,"44,547.13","110,783.23","3,449.00",1,"1,371.00", -   ,"13,765.92",6.55,"120,595.19", -   , -   ,"22,861.21","1,362.82","1,268.44",73.13,218.09, -   ,10494,10639,4406,13831,2896,195,202,793,398,205,2012,31,711,12,4585,60,1764,680,187,908,
10,103,10304,Los Lagos,Osorno,Puyehue,1635.28,-40.7258,-72.3806,2015,0,"6,489,113,223",0.18,"14,621.81","51,854.95",26, -   ,230, -   ,"5,856.60",2.95,"49,946.96", -   , -   ,"9,691.06",575.98,536.44,31.3,91.49, -   ,5868,5811,2354,7819,1506,50,89,523,775,131,1626,15,706,6,1028,,,,,,
10,103,10305,Los Lagos,Osorno,Rio_Negro,1281.02,-40.77,-73.4169,2015,0,"7,855,474,027",0.22,"23,852.07","54,380.98",119,2,"3,911.00", -   ,"7,002.97",19.29,"61,994.25", -   , -   ,"11,712.31",712.31,661.78,36.83,125.31, -   ,7238,7224,2896,9494,2072,510,149,576,286,151,855,22,2680,3,173,45,1460,106,151,169,
10,103,10306,Los Lagos,Osorno,San_Juan_Costa,1506.02,-40.5065,-73.5605,2015,0,"6,616,289,821",0.32,"12,252.48","35,111.38","87,263.00",1,106, -   ,"6,279.33",54.39,"114,852.44", -   , -   ,"11,585.35",902.24,799.07,22.3,238.76, -   ,4082,3838,1482,5126,1312,358,31,183,60,20,59,0,0,0,0,,,,,,
10,103,10307,Los Lagos,Osorno,San_Pablo,629.94,-40.4269,-73.1616,2015,0,"4,733,577,250",0.23,"13,717.07","33,036.55","34,800.00",1,"11,766.00", -   ,"5,022.59",31.37,"77,661.10", -   , -   ,"9,186.47",650.98,591.17,22.01,154.94, -   ,5269,5262,2055,6844,1632,388,100,314,129,102,609,17,2274,4,155,,,,,,
10,104,10401,Los Lagos,Palena,Chaiten,8256.01,-43.0944,-72.5762,2015,0,"6,020,860,291",0.18,"8,615.87","25,052.23",4, -   ,158, -   ,"2,965.15",2.99,"25,317.82", -   , -   ,"4,906.62",296.19,275.17,15.85,50.32, -   ,2600,2381,1033,3453,495,4,22,250,289,44,127,3,86,0,0,,,,,,
10,104,10402,Los Lagos,Palena,Futaleufu,1236.22,-43.1803,-72.0073,2015,0,"3,417,305,198",0.22,"11,083.81","33,782.93","5,466.00", -   ,57, -   ,"4,084.41",5.31,"38,568.10", -   , -   ,"6,831.65",419.71,387.03,21.12,72.4, -   ,1322,1318,533,1799,308,143,43,275,110,17,56,1,6,0,0,6,159,16,2,11,
10,104,10403,Los Lagos,Palena,Hualaihue,2834.53,-42.1812,-72.3793,2015,0,"8,934,402,905",0.23,"22,999.07","74,540.93", -   ,1,3, -   ,"8,590.33",2.86,"72,942.88", -   , -   ,"14,207.29",840.72,782.71,45.92,131.3, -   ,4759,4574,2143,6235,955,9,33,270,60,29,257,1,102,0,0,2,236,45,0,36,
10,104,10404,Los Lagos,Palena,Palena,2656.01,-43.6831,-71.9842,2015,0,"2,619,883,349",0.16,"6,115.67", -   ,"761,352.00", -   ,157, -   ,"18,940.61",459.18,"696,870.26", -   , -   ,"41,787.72","4,350.71","3,690.07",2.88,"1,523.23", -   ,912,902,348,1215,251,4,26,107,28,11,49,1,44,1,264,8,190,30,20,25,
11,111,11101,Aysén del General Carlos Ibáñez del Campo,Coihaique,Coyhaique,7280.46,-45.5546,-71.9923,2015,0,"22,723,698,221",0.07,"38,630.65","261,741.67","18,128.00",5,"3,897.00", -   ,"26,968.75",30.8,"244,574.79", -   , -   ,"44,925.95","2,742.96","2,545.33",141.41,472.34, -   ,29710,29471,14247,40028,4906,2482,586,3206,2893,689,6629,69,4024,16,2487,,,,,,
11,111,11102,Aysén del General Carlos Ibáñez del Campo,Coihaique,Lago_Verde,5440.42,-44.4925,-71.8344,2015,0,"1,826,556,015",0.17, -   , -   ,"10,841.00", -   ,71, -   ,260,7,"9,928.00", -   , -   ,579,61,54, -   ,23, -   ,503,417,173,629,118,1,6,52,78,4,8,0,0,1,156,,,,,,
11,112,11201,Aysén del General Carlos Ibáñez del Campo,Aisén,Aysen,29879.3,-45.9893,-73.7757,2015,0,"14,792,462,412",0.06,"23,118.52","141,217.41",9,2,340, -   ,"14,478.04",6.81,"123,199.50", -   , -   ,"23,950.83","1,423.44","1,324.71",77.37,226.22, -   ,12516,11860,5892,16488,1996,8,128,1274,631,249,3430,19,1037,7,2829,,,,,,
11,112,11202,Aysén del General Carlos Ibáñez del Campo,Aisén,Cisnes,15418.3,-44.4572,-73.1399,2015,0,"5,514,715,427",0.07,"1,821.94","33,727.62","6,644.00", -   ,"1,992.00", -   ,"3,329.84",19.04,"34,349.77", -   , -   ,"5,631.64",387.41,356.27,16.74,94.85, -   ,2960,2733,1331,3919,443,118,35,437,170,75,666,3,310,0,0,6,192,29,27,20,
